freq_mhz,dbfs
0.763281,-111.444
0.764062,-138.298
0.764844,-119.674
0.765625,-138.298
0.766406,-107.257
0.767187,-138.298
0.767969,-122.662
0.768750,-138.298
0.769531,-115.567
0.770312,-138.298
0.771094,-109.531
0.771875,-138.298
0.772656,-105.257
0.773437,-138.298
0.774219,-104.022
0.775000,-138.298
0.775781,-120.064
0.776562,-138.298
0.777344,-102.520
0.778125,-138.298
0.778906,-110.081
0.779687,-138.298
0.780469,-116.640
0.781250,-138.298
0.782031,-113.905
0.782812,-138.298
0.783594,-103.322
0.784375,-138.298
0.785156,-105.019
0.785937,-138.298
0.786719,-107.390
0.787500,-138.298
0.788281,-112.763
0.789062,-138.298
0.789844,-112.867
0.790625,-138.298
0.791406,-123.272
0.792187,-138.298
0.792969,-103.331
0.793750,-138.298
0.794531,-123.385
0.795312,-138.298
0.796094,-138.641
0.796875,-138.298
0.797656,-102.846
0.798437,-138.298
0.799219,-100.956
0.800000,-138.298
0.800781,-115.943
0.801562,-138.298
0.802344,-124.855
0.803125,-138.298
0.803906,-129.495
0.804687,-138.298
0.805469,-108.018
0.806250,-138.298
0.807031,-107.193
0.807812,-138.298
0.808594,-111.976
0.809375,-138.298
0.810156,-110.985
0.810937,-138.298
0.811719,-99.824
0.812500,-138.298
0.813281,-110.973
0.814062,-138.298
0.814844,-108.410
0.815625,-138.298
0.816406,-102.092
0.817187,-138.298
0.817969,-115.031
0.818750,-138.298
0.819531,-124.354
0.820312,-138.298
0.821094,-114.777
0.821875,-138.298
0.822656,-107.745
0.823437,-138.298
0.824219,-139.022
0.825000,-138.298
0.825781,-119.736
0.826562,-138.298
0.827344,-108.592
0.828125,-138.298
0.828906,-117.011
0.829687,-138.298
0.830469,-124.445
0.831250,-138.298
0.832031,-103.467
0.832812,-138.298
0.833594,-129.125
0.834375,-138.298
0.835156,-104.598
0.835937,-138.298
0.836719,-102.483
0.837500,-138.298
0.838281,-138.205
0.839062,-138.298
0.839844,-120.522
0.840625,-138.298
0.841406,-112.511
0.842187,-138.298
0.842969,-106.717
0.843750,-138.298
0.844531,-108.858
0.845312,-138.298
0.846094,-148.760
0.846875,-138.298
0.847656,-116.404
0.848437,-138.298
0.849219,-108.230
0.850000,-138.298
0.850781,-113.833
0.851562,-138.298
0.852344,-108.534
0.853125,-138.298
0.853906,-113.377
0.854687,-138.298
0.855469,-105.807
0.856250,-138.298
0.857031,-116.292
0.857812,-138.298
0.858594,-111.444
0.859375,-138.298
0.860156,-124.128
0.860937,-138.298
0.861719,-108.216
0.862500,-138.298
0.863281,-104.064
0.864062,-138.298
0.864844,-118.384
0.865625,-138.298
0.866406,-101.524
0.867187,-138.298
0.867969,-107.320
0.868750,-138.298
0.869531,-122.048
0.870312,-138.298
0.871094,-112.635
0.871875,-138.298
0.872656,-109.280
0.873437,-138.298
0.874219,-127.701
0.875000,-138.298
0.875781,-102.522
0.876562,-138.298
0.877344,-112.658
0.878125,-138.298
0.878906,-116.264
0.879687,-138.298
0.880469,-116.454
0.881250,-138.298
0.882031,-105.604
0.882812,-138.298
0.883594,-120.394
0.884375,-138.298
0.885156,-122.857
0.885937,-138.298
0.886719,-107.909
0.887500,-138.298
0.888281,-106.893
0.889062,-138.298
0.889844,-104.248
0.890625,-138.298
0.891406,-127.002
0.892187,-138.298
0.892969,-128.338
0.893750,-138.298
0.894531,-103.903
0.895312,-138.298
0.896094,-121.158
0.896875,-138.298
0.897656,-106.087
0.898437,-138.298
0.899219,-98.215
0.900000,-138.298
0.900781,-117.564
0.901562,-138.298
0.902344,-106.073
0.903125,-138.298
0.903906,-99.874
0.904687,-138.298
0.905469,-122.893
0.906250,-138.298
0.907031,-102.760
0.907812,-138.298
0.908594,-101.564
0.909375,-138.298
0.910156,-109.843
0.910937,-138.298
0.911719,-107.639
0.912500,-138.298
0.913281,-110.500
0.914062,-138.298
0.914844,-105.707
0.915625,-138.298
0.916406,-108.229
0.917187,-138.298
0.917969,-105.132
0.918750,-138.298
0.919531,-127.009
0.920312,-138.298
0.921094,-124.899
0.921875,-138.298
0.922656,-126.163
0.923437,-138.298
0.924219,-113.360
0.925000,-138.298
0.925781,-117.021
0.926562,-138.298
0.927344,-109.710
0.928125,-138.298
0.928906,-103.886
0.929687,-138.298
0.930469,-113.509
0.931250,-138.298
0.932031,-117.332
0.932812,-138.298
0.933594,-109.384
0.934375,-138.298
0.935156,-120.364
0.935937,-138.298
0.936719,-104.049
0.937500,-138.298
0.938281,-110.359
0.939062,-138.298
0.939844,-105.126
0.940625,-138.298
0.941406,-166.268
0.942187,-138.298
0.942969,-123.401
0.943750,-138.298
0.944531,-128.582
0.945312,-138.298
0.946094,-104.437
0.946875,-138.298
0.947656,-113.387
0.948437,-138.298
0.949219,-105.726
0.950000,-138.298
0.950781,-106.590
0.951562,-138.298
0.952344,-120.268
0.953125,-138.298
0.953906,-114.010
0.954687,-138.298
0.955469,-108.168
0.956250,-138.298
0.957031,-99.556
0.957812,-138.298
0.958594,-104.720
0.959375,-138.298
0.960156,-138.260
0.960937,-138.298
0.961719,-109.733
0.962500,-138.298
0.963281,-104.201
0.964062,-138.298
0.964844,-104.695
0.965625,-138.298
0.966406,-104.865
0.967187,-138.298
0.967969,-113.392
0.968750,-138.298
0.969531,-118.031
0.970312,-138.298
0.971094,-113.371
0.971875,-138.298
0.972656,-104.268
0.973437,-138.298
0.974219,-113.168
0.975000,-138.298
0.975781,-111.970
0.976562,-138.298
0.977344,-133.483
0.978125,-138.298
0.978906,-109.740
0.979687,-138.298
0.980469,-111.601
0.981250,-138.298
0.982031,-102.935
0.982812,-138.298
0.983594,-99.808
0.984375,-138.298
0.985156,-100.640
0.985937,-138.298
0.986719,-109.781
0.987500,-138.298
0.988281,-102.021
0.989062,-138.298
0.989844,-121.608
0.990625,-138.298
0.991406,-100.501
0.992187,-138.298
0.992969,-106.084
0.993750,-138.298
0.994531,-121.606
0.995312,-138.298
0.996094,-105.463
0.996875,-138.298
0.997656,-128.008
0.998437,-138.298
0.999219,-115.899
1.000000,-138.298
1.000781,-108.395
1.001562,-138.298
1.002344,-125.259
1.003125,-138.298
1.003906,-105.639
1.004687,-138.298
1.005469,-120.675
1.006250,-138.298
1.007031,-102.237
1.007812,-138.298
1.008594,-130.980
1.009375,-138.298
1.010156,-145.039
1.010937,-138.298
1.011719,-107.017
1.012500,-138.298
1.013281,-111.928
1.014062,-138.298
1.014844,-99.536
1.015625,-138.298
1.016406,-116.726
1.017187,-138.298
1.017969,-117.016
1.018750,-138.298
1.019531,-119.538
1.020312,-138.298
1.021094,-105.448
1.021875,-138.298
1.022656,-116.604
1.023437,-138.298
1.024219,-118.350
1.025000,-138.298
1.025781,-111.547
1.026562,-138.298
1.027344,-123.876
1.028125,-138.298
1.028906,-98.283
1.029687,-138.298
1.030469,-111.577
1.031250,-138.298
1.032031,-95.391
1.032812,-138.298
1.033594,-109.292
1.034375,-138.298
1.035156,-122.693
1.035937,-138.298
1.036719,-122.677
1.037500,-138.298
1.038281,-112.181
1.039062,-138.298
1.039844,-125.922
1.040625,-138.298
1.041406,-111.005
1.042187,-138.298
1.042969,-101.869
1.043750,-138.298
1.044531,-107.530
1.045312,-138.298
1.046094,-113.740
1.046875,-138.298
1.047656,-105.707
1.048437,-138.298
1.049219,-96.786
1.050000,-138.298
1.050781,-110.451
1.051562,-138.298
1.052344,-107.673
1.053125,-138.298
1.053906,-110.015
1.054687,-138.298
1.055469,-116.742
1.056250,-138.298
1.057031,-126.328
1.057812,-138.298
1.058594,-114.347
1.059375,-138.298
1.060156,-113.658
1.060937,-138.298
1.061719,-132.767
1.062500,-138.298
1.063281,-103.659
1.064062,-138.298
1.064844,-133.702
1.065625,-138.298
1.066406,-112.427
1.067187,-138.298
1.067969,-117.005
1.068750,-138.298
1.069531,-122.068
1.070312,-138.298
1.071094,-117.769
1.071875,-138.298
1.072656,-97.916
1.073437,-138.298
1.074219,-105.120
1.075000,-138.298
1.075781,-116.940
1.076562,-138.298
1.077344,-104.074
1.078125,-138.298
1.078906,-118.898
1.079687,-138.298
1.080469,-111.113
1.081250,-138.298
1.082031,-110.223
1.082812,-138.298
1.083594,-106.210
1.084375,-138.298
1.085156,-101.120
1.085937,-138.298
1.086719,-131.397
1.087500,-138.298
